iter	Passed	Remaining
443	1220	1528
444	1223	1526
445	1226	1523
446	1229	1520
447	1231	1517
448	1234	1514
449	1236	1511
450	1240	1509
451	1243	1507
452	1246	1504
453	1249	1502
454	1251	1499
455	1254	1496
456	1257	1493
457	1260	1491
458	1263	1488
459	1265	1485
460	1269	1483
461	1271	1480
462	1274	1478
463	1277	1475
464	1306	1502
465	1309	1500
466	1312	1497
467	1314	1494
468	1317	1491
469	1320	1489
470	1323	1486
471	1325	1483
472	1328	1480
473	1331	1478
474	1335	1475
475	1338	1473
476	1341	1470
477	1344	1468
478	1347	1466
479	1350	1463
480	1353	1460
481	1355	1457
482	1358	1453
483	1360	1450
484	1363	1447
485	1366	1444
486	1368	1441
487	1371	1438
488	1373	1435
489	1376	1432
490	1378	1429
491	1381	1426
492	1384	1423
493	1387	1421
494	1390	1418
495	1392	1415
496	1395	1412
497	1399	1410
498	1402	1408
499	1406	1406
500	1409	1403
501	1412	1401
502	1415	1398
503	1417	1395
504	1420	1392
505	1423	1389
506	1425	1386
507	1428	1383
508	1430	1380
509	1433	1377
510	1436	1374
511	1439	1371
512	1441	1368
513	1444	1365
514	1446	1362
515	1449	1359
516	1452	1356
517	1454	1353
518	1457	1350
519	1460	1347
520	1463	1345
521	1465	1342
522	1468	1339
523	1471	1336
524	1474	1334
525	1477	1331
526	1480	1328
527	1483	1325
528	1485	1323
529	1488	1320
530	1491	1317
531	1494	1314
532	1496	1311
533	1499	1308
534	1502	1305
535	1505	1303
536	1508	1300
537	1510	1297
538	1513	1294
539	1516	1291
540	1518	1288
541	1521	1285
542	1524	1283
543	1528	1280
544	1531	1278
545	1534	1275
546	1537	1272
547	1542	1272
548	1545	1269
549	1549	1267
550	1552	1265
551	1557	1263
552	1560	1261
553	1563	1258
554	1566	1255
555	1568	1252
556	1571	1250
557	1575	1247
558	1578	1245
559	1581	1242
560	1585	1240
561	1588	1237
562	1591	1235
563	1594	1232
564	1596	1229
565	1599	1226
566	1602	1223
567	1605	1221
568	1608	1218
569	1611	1215
570	1613	1212
571	1616	1209
572	1620	1207
573	1623	1205
574	1626	1202
575	1629	1199
576	1632	1197
577	1635	1194
578	1638	1191
579	1640	1188
580	1643	1185
581	1646	1182
582	1649	1179
583	1652	1177
584	1655	1174
585	1658	1171
586	1661	1169
587	1674	1173
588	1677	1170
589	1680	1167
590	1682	1164
591	1685	1161
592	1688	1158
593	1690	1155
594	1693	1152
595	1696	1149
596	1698	1146
597	1701	1143
598	1704	1140
599	1706	1137
600	1709	1134
601	1712	1131
602	1714	1129
603	1718	1126
604	1721	1123
605	1724	1120
606	1726	1118
607	1729	1115
608	1733	1112
609	1736	1110
610	1738	1107
611	1741	1104
612	1744	1101
613	1747	1098
614	1750	1095
615	1754	1093
616	1757	1091
617	1760	1088
618	1763	1085
619	1766	1082
620	1769	1079
621	1771	1076
622	1774	1073
623	1777	1071
624	1780	1068
625	1783	1065
626	1785	1062
627	1788	1059
628	1791	1056
629	1794	1053
630	1797	1050
631	1799	1047
632	1802	1044
633	1805	1042
634	1808	1039
635	1810	1036
636	1813	1033
637	1815	1030
638	1818	1027
639	1821	1024
640	1823	1021
641	1826	1018
642	1828	1015
643	1831	1012
644	1834	1009
645	1836	1006
646	1839	1003
647	1842	1000
648	1844	997
649	1847	994
650	1850	992
651	1853	989
652	1856	986
653	1858	983
654	1861	980
655	1864	977
656	1866	974
657	1869	971
658	1872	969
659	1875	966
660	1878	963
661	1881	960
662	1884	957
663	1887	955
664	1891	952
665	1893	949
666	1896	946
667	1899	943
668	1901	941
669	1904	938
670	1907	935
671	1909	932
672	1912	929
673	1914	926
674	1917	923
675	1919	920
